term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
SectionUnitDescriptiveText,section unit descriptive text,"Free text description of the layer, stratum or rock body ",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionUnitImage,section unit image,Placeholder for multimedia complex type from main ABCD schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionUnitImages,section unit images,"Container for images related to this bed, layer or body within the measured section or borehole.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionUnitNumber,section unit number,"Either a numerical identifier used for sorting the sequence or a UnitFieldNumber. A sectionunit could be a bed, a layer, an intrusive body or anything else encountered in a section or borehole.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionUnitSample,section unit sample,Container for a single sample taken from this layer,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionUnitSamples,section unit samples,Container for samples taken from this layer. This should just list ABCD unit GUIDs to detailed unit/sample records but could be extended to use global types to create a standalone schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionUnitStratigraphy,section unit stratigraphy,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SequenceStratigraphicSetting,sequence stratigraphic setting,Keyword for position in sequence stratigraphy setting. Enumerated list.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ShockMetamorphicGrade,shock metamorphic grade,"Free text for describing the type of alteration caused by impact, as in meteorites. Also called shock stage.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SiteSections,site sections,Measured section or borehole record associated with the gathering site.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SiteStratigraphicAttributions,site stratigraphic attributions,Individual stratigraphic determinations related to the Gathering site - not measured sections.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicAttributions,stratigraphic attributions,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicComment,stratigraphic comment,Free text comments relating to the straigraphy,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicDateComment,stratigraphic date comment,Free text element to allow discussion of geological age of a specimen or observed feature,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicMeasurementOrFact,stratigraphic measurement or fact,Container for single instance of complex type MeasurementOrFact,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicMeasurementsOrFacts,stratigraphic measurements or facts,Container element for multiple measurements (,,,"thickness, dip etc.) or facts (",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicReference,stratigraphic reference,Complex type for individual reference pertaining to stratigraphy uses abcd:Reference type,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicReference,stratigraphic reference,Details of individual documentary references to the straigraphy ,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicReferences,stratigraphic references,Container for any documentary references relating to the stratigraphy,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicReferences,stratigraphic references,Container for complex type Reference. There may be more than one reference describing the stratigraphy.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicSectionImage,stratigraphic section image,This is a placeholder for MultiMedia complex type from the main ABCD schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphicSectionImages,stratigraphic section images,Container for images of the stratigraphic section or borehole and related media.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
StratigraphyComment,stratigraphy comment,"Free text for describing the stratigraphic context, correlation or similar notes",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Strike,strike,Direction of strike measured on stratal surface,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Supergroup,supergroup,Highest level of lithostratigraphic classification,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TectonicSetting,tectonic setting,Free text description of the relationship of the observed stratigraphy to its tectonic context,,,"sequence stratigraphy related to basin development and eustatic change, syn-tectonic stratigraphy related to plate movements and orogenesis.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TimeUnit,time unit,The time units being measured or how the numbers are expressed,,,millions of years B.P. or thousands of years B.C.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TopSurface,top surface,Container for details of top surface of a layer or stratum and it relationship with overlying layers,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TopSurfaceFeature,top surface feature,Text description of features,,,top surface is a hardground or rockground,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TotalCoreRecovery,total core recovery,What percentage of the drilled material was recovered?,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TotalDepth,total depth,The total depth in metres that was bored or dug,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TotalLengthOfSection,total length of section,The length of the named section in meters,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TotalThicknessMeasured,total thickness measured,The total thickness of strata or rock exposed in the section or borehole,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Twinning,twinning,"Free text to describe any twinning features dispalyed by a mineral unit. Types include interpenetrant, rotation and geniculate.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
TypeOfBit,type of bit,What type bit was used in the drilling / cutting process - can include diameter and type code,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
UnitOfMeasurement,unit of measurement,The scale used for measurements in the analysis,,,% for amounts or RI for refractive index.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
UnitSize,unit size,Free text fiekd for describing the overall size of the specimen - frequently used information and therefore placed here as a summary. Details should be entered under MeasurementOrFact complex type.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
UnitStratigraphicDetermination,unit stratigraphic determination,Formal stratigraphic date or correlation for an individual earth science unit (,,,a single fossil specimen). Use efgGathering for site-related stratigraphy. This allows for individual specimens to be given an exact stratigraphic date and the wider stratigraphy of the site to also be listed.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
UnitWeight,unit weight,Free text field to enter gross weight of geological specimens.  -  frequently used information and used here as a summary. Details should be entered under MeasurementOrFact complex type,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
UpperValue,upper value,Higher value or upper limit of range of values,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
VarietalNameString,varietal name string,"Name given to a variety of the mineral, usually based on its colour or form",,,"Saphire is a blue form of Corundum, Moss Agate and Carnelian are varieties of cryptocrystalline Quartz. Marston Marble is a varietal trade name for a biomicrite from Lower Jurassic. Includes attribute for language.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ZonalFossilType,zonal fossil type,What sort of biozone is being recorded?,,,"what animal or plant group is it based on? (ammonite, brachiopod,coral, plant, foram, nanoplankton etc.)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
