namespace,term_localName,label,definition,usage,rdf_type,tdwgutility_organizedInClass
abcd:,periodExplicit,Period Explicit,This is an indicator for the explicitness of a period.,"Set to ""true"" if the event explicitly  takes place for the entire period indicated. Set to ""false"" if it occurs at some point of time during the period. Not filled if unknown or no period specified (abcd:timeSpanEnd not used).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hasTechnicalContact,has Technical Contact,Property to connect an instance of a class to a Contact that is responsible for technical issues in its context.,The technical Contact should be contacted regarding technical problems about the structure or access of the data.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hasContentContact,has Content Contact,Property to connect an instance of a class to a Contact that is responsible for its content.,Questions regarding the understanding of the data and potential error reports should be directed to this Contact.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,blocked,Blocked,"Sample or specimen data can not be ordered/loaned in general, but are visible via portals.","Note: Records/samples/specimens not to be published should be blocked on database level. If they are available via Darwin Core or ABCD, they are visible for everyone. This element is to be used for samples/specimens that cannot be loaned.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,temperatureValue,Temperature Value,Concept for a temperature value. Preferably a number.,The used scale is not to be recorded with this property. Use abcd:TemperatureScale for this.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,observationUnitID,Observation Unit ID,Numbers or other registration mark associated with an observation record.,Separated from the equivalent AccessionNumber of specimen collections because of the more standardized approaches taken in physical collections.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,DrawingOrPhotograph,Drawing Or Photograph,A record describing a static visual representation (digital or physical).,"For sets of multiple images (image stacks) or films, please use abcd:MultimediaObject.",http://www.w3.org/2000/01/rdf-schema#Class,
abcd:,MultimediaRecord,Multimedia Record,A record describing a multimedia representation (digital or physical).,For single static images as a Record Basis please use the term abcd:DrawingOrPhotograph.,http://www.w3.org/2000/01/rdf-schema#Class,
abcd:,infrasubspecificName,Infrasubspecific Name,"The variety designation, epithet, authors and reference for the unit.","This field excludes the pathovar name and the serovar name, which are both infrasubspecific names but are to be entered using abcd:pathovar and abcd:serovarOrSerotype respectivly.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,strain,Strain,The name of a microbial or viral strain,"Note that this name may also denote the unique identifier of the record in the collection, in which case it should also be used for Unit ID.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,genotype,Genotype,Names of chromosomal markers of the strain.,Especially recommended for strains of species for which many genetically modified strains exist.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,naturalOccurrence,Natural Occurrence,Records whether the plant is a native of the collection habitat or whether it is a naturalised introduction. Equivalent to HISPID:posnat.,"It is expected that this field will have values similar to the following: Natural, Naturalised, Unknown.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,cultivatedOccurrence,Cultivated Occurrence,"Records whether the plant is established or not established (hence, only maintained as a cultivated plant), in the collection habitat. Equivalent to HISPID:poscul.","It is expected that this field will have values similar to the following: Cultivated, Not cultivated, Unknown",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,accessionSpecimenNumbers,Accession Specimen Numbers,The minimum numbers of individuals the garden is holding under the UnitID.,Accession status must not be D (dead).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,accessionLineage,Accession Lineage,The purpose of this property is to trace the lineage of an accession to either one or two immediate parent unit ID's.,The Unit IDs are preceded by the garden code (Heywood and Heywood).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,ipen,IPEN,A unique number given to plant materials accessioned in conformance with the rules of the International Plant Exchange Network.,For additional information see https://www.bgci.org/policy/ipen/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,breedingInstitutionCode,Breeding Institution Code,FAO Institute Code of the institute that has bred the material.,The codes consist of the 3-letter ISO 3166 country code of the country where the institute is located plus a three-digit number.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,fileSize,File Size,The size of the file of the multimedia object.,Sizes should be expressed in kB (kilo byte) or MB (mega byte) including the unit abbreviation.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,namedCollectionOrSurvey,Named Collection Or Survey,"A named collection or survey project to which the Unit belongs, which may not match the abcd:SourceID.",Note that this element refers to the name accepted by the specimen or data holding institution and this may or may not be different from the project name given under abcd:ProjectTitle,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,lowerValue,Lower Value,The lower value of a measurement when it yields a range of values.,"The unit of the measurement should be expressed in abcd:UnitOfMeasurement. When a measurement yields an exact value and no range, use abcd:ExactValue instead. When no lower value of a range can be determined, this property should be omitted and only abcd:UpperValue should be filled.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,upperValue,Upper Value,The upper value of a measurement when it yields a range of values.,"The unit of the measurement should be expressed in abcd:UnitOfMeasurement. When no upper value of a range can be determined, this property should be omitted and only abcd:LowerValue should be filled.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,unitOfMeasurement,Unit Of Measurement,The unit of measurement in which the values are expressed.,The usage of abbreviated SI units is highly recommended. An appropriate prefix can be added (e.g. 2 mm instead of 0.0002 m),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,accuracy,Accuracy,A statement of accuracy concerning the measurement.,If the unit of measurement is the same as denoted in abcd:UnitOfMeasurment it should be omitted.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,isQuantitative,Is Quantitative,"A flag indicating whether values given for a measurement represent the numerical result of a quantitative measurement (""true"") or a descriptor with textual or categorical result (""false"").","Allowed values are ""true"" and ""false"" (in lower case).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,age,Age,The age of the organism at the time of collection or observation.,"Note that atomized counts for different age (e.g. ""26 years by counting tree rings"") classes can be provided in the abcd:MeasurementOrFact class of the Unit.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,sequenceDatabase,Sequence Database,The database holding the sequence data.,"Use ""Internal"" for an unpublished sequence.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,localityText,Locality Text,The original gathering locality data as appearing on a label or in an original entry. It should contain the information below the country level that describes where the accession was collected.,"The value may include the distance in kilometers and direction from the nearest town, village or map grid reference point. Editorial omissions for brevity, etc. should be indicated with an ellipsis (...) and interpreted or implied text should be included in square brackets [ ].",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,stratigraphy,Stratigraphy,A free text field for an informal record of the gathering site stratigraphy.,"The preferred way to specify stratigraphic terms is by using abcd:hasBiostratigraphicTerm,  abcd:hasChronostratigraphicTerm and abcd:hasLithostratigraphicTerm.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,iso3166Code,ISO3166Code,"A 2-letter (ISO3166-1) or 4-letter (ISO3166-3, for historic countries) code for representation of the name of the country or origin.","Common used exceptions from the ISO standard are: XA (unknown or unspecified Africa), XB (unknown or unspecified Middle or South America), XC (unknown or unspecified Asia), XD (unknown or unspecified Australia and Oceania), XE (unknown or unspecified Europe), XF (unknown or unspecified North America)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,areaClass,Area Class,"Allows the recording of classification categories for the class of the gathering named area (local or national subdivision levels, geomorphological units, protected areas, etc.)",These classification categories are often treated as individual elements in other standards.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,code,Code,An abbreviation or code for a concept.,Unlike abcd:ID a Code usually refers to a defined code standard.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,derivedFlag,Derived Flag,A flag indicating that the information connected to a class is derived rather than original data.,"Allowed values are ""true"" or ""false"".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,longitudeDecimal,Longitude Decimal,"The longitude of a location (east-west component), expressed in decimal degrees. The values range from -180 to 180.","To store a longitude expressed in a non decimal way (e.g. by using Degrees, Minutes and Seconds), please use abcd:VerbatimLongitude.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,latitudeDecimal,Latitude Decimal,"The latitude of a location (north-south component), expressed in decimal degrees. The values range from -90 to 90.","To store a latitude expressed in a non decimal way (e.g. by using Degrees, Minutes and Seconds), please use abcd:VerbatimLatitude.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,spatialDatum,Spatial Datum,A mathematical surface on which the mapping and coordinate system used for the geolocation are based.,The common abbreviations for spatial datum are to be used.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,Synecology,Synecology,The relationship of a Unit gathered with other taxa at the gathering site.,"Note that this relationship can be recorded as a feature of the location (e.g. a syntaxon, or certain species known to grow together at the site). It can also be used to record an observed relationship (e.g. caterpillar and observed food plant, parasite and host etc.), but this would be better expressed as abcd:Association of the Unit.",http://www.w3.org/2000/01/rdf-schema#Class,
abcd:,validDistributionFlag,Valid Distribution Flag,"A flag (""true"" or ""false"") that indicates whether the locality information represents a valid distribution occurrence for a specimen.","Specimens taken from captivity and showing the captive location should use the value ""false"".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,sourceInstitutionID,Source Institution ID,The unique identifier (code or name) of an institution holding the original data source.,"In specimen collections, this is normally the institution or private holder of the collection itself. For herbaria and botanical gardens, the standard abbreviations should be used.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,sourceInstitutionID,Source Institution ID,The unique identifier (code or name) of an institution holding the original data source.,The units within the datasource are not necessarily all owned or administered by this institution.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,sourceID,Source ID,The name or code of a data source (that is unique within the institution and constitutes the second part of the record identifier).,The source ID may be the name of a collection if all records stem from a single collection. Together with the element Source-Institution-Code it provides a unique identifier for the dataset's original source.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,numericUnitID,Numeric Unit ID,"The numeric catalogue number for a Unit. Where present, the unit catalogue number facilitates sorting and allows for searches on a range of catalogue numbers.","The usage of this property still requires the usage of the general Unit ID. If the general Unit ID is by nature numeric, both properties should be filled with that value.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hasDateModified,has Date Modified,Property to connect an instance of a class to the date it was last modified/edited.,Needs to be updated if any part of the data is changed.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hasUnitReference,has Unit Reference,Property to connect a Unit to a published Reference citing it.,"To cite the reference the information of the Unit came from, please  use abcd:hasSourceReference instead.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,kindOfUnit,Kind Of Unit,"Part(s), physical state, or class of materials represented by the Unit.","Note that sex, stages etc. should normally be recorded using the respective elements, but may also end up here if the source database mixes them with other data.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,id,ID,Code or Identifier of a class (unique within its local context).,For globally unique identifiers (e.g. resolvable HTTP URIs) use abcd:GUID.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,fieldNotes,Field Notes,Notes taken in the field for the object or observation.,"If field notes exist, but are not published (dwc:fieldNotes use case a), this property should not be used, instead it should be noted using the abcd:InformationWidthheld property either on the Unit or DataSet level.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,informationWithheld,Information Withheld,"Brief descriptions of additional information that may exist, but that has not been made public.",Information about obtaining the withheld information should be sought from the corresponding Contact (e.g. abcd:hasContentContact for the Data Set).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,unformattedValue,Unformatted Value,Information about a class in free text form that can not be expressed in atomized values.,To be used when no atomized information is available. Not to be confused with abcd:Text.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,PermitNotRequired,Permit not required,Permit Status: Permit not required,Please use abcd:Details of the Permit class to explain why no permit was required.,http://www.w3.org/2000/01/rdf-schema#Class,
abcd:,PermitStatusUnknown,Permit Status Unknown,Permit Status: Unknown,"Material collected after 2014-10-12 cannot be in ""Unknown"" Permit Status!",http://www.w3.org/2000/01/rdf-schema#Class,
