iri,cv_string
http://purl.obolibrary.org/obo/ENVO_01000216,montaneShrubland
http://purl.obolibrary.org/obo/ENVO_01000217,mediterraneanShrubland
http://purl.obolibrary.org/obo/ENVO_01000218,xericShrubland
http://purl.obolibrary.org/obo/ENVO_01000219,anthropogenicTerrestrial
http://purl.obolibrary.org/obo/ENVO_01000220,tropicalWoodland
http://purl.obolibrary.org/obo/ENVO_01000221,temperateWoodland
http://purl.obolibrary.org/obo/ENVO_01000222,subtropicalWoodland
http://purl.obolibrary.org/obo/ENVO_01000223,montaneSavanna
http://purl.obolibrary.org/obo/ENVO_01000224,mediterraneanGrassland
http://purl.obolibrary.org/obo/ENVO_01000225,subtropicalDryBroadleafForest
http://purl.obolibrary.org/obo/ENVO_01000226,subtropicalMoistBroadleafForest
http://purl.obolibrary.org/obo/ENVO_01000227,tropicalDryBroadleafForest
http://purl.obolibrary.org/obo/ENVO_01000228,tropicalMoistBroadleafForest
http://purl.obolibrary.org/obo/ENVO_01000229,mediterraneanSavanna
http://purl.obolibrary.org/obo/ENVO_01000245,cropland
http://purl.obolibrary.org/obo/ENVO_01000246,village
http://purl.obolibrary.org/obo/ENVO_01000247,rangeland
http://purl.obolibrary.org/obo/ENVO_01000248,denseSettlement
http://purl.obolibrary.org/obo/ENVO_01000249,urban
http://purl.obolibrary.org/obo/ENVO_01000250,subpolarConiferousForest
http://purl.obolibrary.org/obo/ENVO_01000252,freshwaterLake
http://purl.obolibrary.org/obo/ENVO_01000253,freshwaterRiver
http://purl.obolibrary.org/obo/ENVO_01000339,polar
http://purl.obolibrary.org/obo/ENVO_01000854,tropicalMarineCoralReef
http://purl.obolibrary.org/obo/ENVO_01000856,temperateMarginalSea
http://purl.obolibrary.org/obo/ENVO_01000857,temperateMediterraneanSea
http://purl.obolibrary.org/obo/ENVO_01000858,marineUpwelling
http://purl.obolibrary.org/obo/ENVO_01000859,tropicalMarineUpwelling
http://purl.obolibrary.org/obo/ENVO_01000860,temperateMarineUpwelling
http://purl.obolibrary.org/obo/ENVO_01001369,tidalMangroveShrubland
