"rdf:about","dcterms:issued","dcterms:modified","rdfs:label","rdfs:comment","dcterms:description","skos:prefLabel","rdfs:isDefinedBy","rdf:type","rdfs:subPropertyOf","dwcattributes:status","dwcattributes:abcdEquivalence","dwcattributes:organizedInClass","dwcattributes:decision","dcterms:replaces","dcterms:replaces1","dcterms:replaces2"
"http://rs.tdwg.org/dwc/dwcore/MinimumElevationInMeters-2007-04-17","2007-04-17","2007-04-17","MinimumElevationInMeters","The minimum or actual elevation at which the collection or observation was made. Use negative values for locations below sea level. Examples: 75 (for an elevation of 100 +- 25 meters). 100 (for an elevation between 100m and 200m).",,"Minimum Elevation In Meters","http://rs.tdwg.org/dwc/dwcore/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/LowerValue",,,"http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevationInMeters-2003-06-17",,
"http://rs.tdwg.org/dwc/terms/minimumElevationInMeters-2009-04-24","2008-11-19","2009-04-24","minimumElevationInMeters","The lower limit of the range of elevation (altitude, usually above sea level), in meters.","Example: ""100""","Minimum Elevation In Meters","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/LowerValue","http://purl.org/dc/terms/Location",,"http://rs.tdwg.org/dwc/dwcore/MinimumElevationInMeters-2007-04-17",,
"http://rs.tdwg.org/dwc/terms/month-2009-04-24","2008-11-19","2009-04-24","month","The ordinal month in which the Event occurred.","Examples: ""1"" (=January), ""10"" (=October)","Month","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","accessible from DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin","http://rs.tdwg.org/dwc/terms/Event",,"http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected-2003-06-17",,
"http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected-2003-06-13","2003-06-13","2003-06-13","MonthCollected","The month of year the specimen was collected from the field. Possible values range from 01...12 inclusive",,"Month Collected","http://digir.net/schema/conceptual/darwin/2003/1.0/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","accessible from DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin",,,,,
"http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected-2003-06-17","2003-06-17","2003-06-17","MonthCollected","The two digit month of year in the Common Era calendar during which the cataloged item was collected from the field.",,"Month Collected","http://digir.net/schema/conceptual/darwin/2003/1.0/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","accessible from DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin",,,"http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected-2003-06-13",,
"http://digir.net/schema/conceptual/darwin/2003/1.0/MonthIdentified-2003-06-13","2003-06-13","2003-06-13","MonthIdentified","The month portion of the date when the Collection Item was identified; as two digits [01..12].",,"Month Identified","http://digir.net/schema/conceptual/darwin/2003/1.0/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","accessible from DataSets/DataSet/Units/Unit/Identifications/Identification/Date/DateText",,,,,
"http://digir.net/schema/conceptual/darwin/2003/1.0/MonthIdentified-2003-06-17","2003-06-17","2003-06-17","MonthIdentified","The two digit month in the Common Era calendar during which the cataloged item was identified.",,"Month Identified","http://digir.net/schema/conceptual/darwin/2003/1.0/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","accessible from DataSets/DataSet/Units/Unit/Identifications/Identification/Date/DateText",,,"http://digir.net/schema/conceptual/darwin/2003/1.0/MonthIdentified-2003-06-13",,
"http://rs.tdwg.org/dwc/terms/municipality-2009-08-24","2008-11-19","2009-08-24","municipality","The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.","Examples: ""Holzminden""","Municipality","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName","http://purl.org/dc/terms/Location",,,,
"http://rs.tdwg.org/dwc/terms/nameAccordingTo-2009-09-21","2008-11-19","2009-09-21","nameAccordingTo","The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.","Example: ""McCranie, J. R., D. B. Wake, and L. D. Wilson. 1996. The taxonomic status of Bolitoglossa schmidti, with comments on the biology of the Mesoamerican salamander Bolitoglossa dofleini (Caudata: Plethodontidae). Carib. J. Sci. 32:395-398."", ""Werner Greuter 2008"", ""Lilljeborg 1861, Upsala Univ. Arsskrift, Math. Naturvet., pp. 4, 5""","Name According To","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://rs.tdwg.org/dwc/terms/accordingTo","recommended","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/taxonAccordingTo-2009-04-24",,
"http://rs.tdwg.org/dwc/terms/nameAccordingToID-2009-09-21","2009-08-24","2009-09-21","nameAccordingToID","An identifier for the source in which the specific taxon concept circumscription is defined or implied. See nameAccordingTo.","Example: ""doi:10.1016/S0269-915X(97)80026-2""","Name According To ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","recommended","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,,,
"http://rs.tdwg.org/dwc/terms/namePublicationID-2009-05-18","2009-05-18","2009-05-18","namePublicationID","A resolvable globally unique identifier for the original publication of the scientificName.","Example: ""http://hdl.handle.net/10199/7""","Name Publication ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,,,
