abaft
abash
abeam
adder
addle
adieu
adios
adman
aegis
aerie
agave
alder
alias
aloha
amigo
amour
amuck
anise
apace
argon
argot
armed
aspen
aspic
aster
astir
atlas
atria
attar
auger
aught
aural
babel
baize
balky
balsa
bandy
bangs
banns
bases
bated
batik
beaux
bebop
begot
beige
belay
beryl
bidet
bight
biker
biped
bitch
blase
blues
bogey
boggy
bogus
boner
boron
bosun
bower
bract
brier
bruin
bulgy
bumpy
burro
byway
cadge
cadre
calve
calyx
campy
canto
capon
caret
carom
chaps
chary
cheep
chewy
chimp
chink
chino
chive
chomp
chops
churl
cilia
civet
clime
clomp
clunk
cocky
codex
colic
combo
conga
copra
corps
craps
creel
croon
cruet
cubit
curie
cushy
daffy
dated
davit
decaf
deice
deify
deism
dicta
dinky
divan
divot
divvy
doggy
dogie
doily
douse
dowse
dregs
dryad
ducal
ducat
dumps
dweeb
eaves
edema
eider
elves
emend
emery
emote
exude
fagot
fakir
fated
feces
feint
fiche
filch
finis
firth
fixed
fluky
flyby
fount
franc
frizz
frump
fryer
fusty
futon
gabby
gable
gamin
gauzy
genus
getup
gimpy
gismo
gizmo
gluey
gofer
goods
gorse
gouty
grebe
grist
grits
guano
gushy
gutsy
haiku
henna
hertz
hives
hoary
hogan
hokey
hokum
homey
hooey
hooky
huffy
hydra
inset
inure
jaded
jeans
jihad
jimmy
joule
julep
junco
kabob
kapok
kaput
karat
kazoo
ketch
klutz
knell
kooky
kudos
kudzu
laity
larch
largo
laser
latex
legit
letup
levee
licit
lifer
links
lisle
liter
liven
lives
llano
loner
loony
lotus
lucre
manna
manse
matte
matzo
maven
means
messy
middy
milch
misty
miter
mixed
mixer
moire
momma
mommy
mooch
moped
mores
mosey
mousy
mufti
muggy
mumps
mussy
nabob
naiad
naked
natty
neath
needs
nervy
newel
newsy
nexus
nifty
nimbi
nippy
niter
nonce
noted
noway
oakum
oases
oasis
ocher
odium
oldie
orate
osier
outre
ovule
oxbow
padre
paean
pager
palmy
panda
pants
papaw
parch
passe
peeve
penis
peony
peppy
peter
phial
phlox
phyla
pilaf
piles
pinup
pious
poach
polio
prate
primp
psych
pupae
pussy
pylon
quaff
quire
quits
quoit
radon
rangy
ravel
redid
rheum
ritzy
riven
rosin
ruble
rummy
runny
saber
sable
scads
schwa
scoot
scrip
scrod
scuff
scull
scurf
seamy
sedge
senna
sepal
serge
sheaf
shill
shred
sibyl
sidle
sinus
sisal
sitar
skein
slake
snoot
softy
sonny
soppy
soupy
souse
spate
specs
splay
spoor
sprat
spume
squab
squaw
squid
staph
stile
stoat
strew
strop
strum
styli
sudsy
suede
sunup
swain
swank
sward
swipe
sylph
tarry
taupe
teens
teeny
tempt
tenon
terry
thine
throe
times
tinge
tinny
tired
tizzy
toady
tongs
torte
tress
trill
troth
tubby
tummy
tuner
twain
twerp
twill
ulnae
umber
umiak
unbar
upend
usury
uteri
uvula
venal
vetch
viand
vibes
vireo
vulva
wader
waken
weeds
weepy
whelk
whist
whore
whorl
wired
wives
wormy
xenon
yahoo
yodel
yokel
yours
yucca
yucky
yummy
zilch
zippy
