rdf_about,dcterms_issued,dcterms_modified,localName,rdfs_comment,dcterms_description,skos_prefLabel,rdfs_isDefinedBy,rdf_type,rdfs_subPropertyOf,dwcattributes_status,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
http://rs.tdwg.org/dwc/dwctype/LivingSpecimen-2008-11-19,2008-11-19,2008-11-19,LivingSpecimen,A resource describing a living specimen.,,Living Specimen,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/dwctype/Occurrence,superseded,RecordBasisEnum/LivingSpecimen,,,,,
http://rs.tdwg.org/dwc/dwctype/LivingSpecimen-2011-10-16,2008-11-19,2014-10-23,LivingSpecimen,A resource describing a living specimen.,,Living Specimen,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,RecordBasisEnum/LivingSpecimen,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/LivingSpecimen-2008-11-19,,
http://rs.tdwg.org/dwc/terms/LivingSpecimen-2014-10-23,2014-10-23,2014-10-23,LivingSpecimen,A specimen that is alive.,,Living Specimen,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,RecordBasisEnum/LivingSpecimen,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/LivingSpecimen-2011-10-16,,
http://rs.tdwg.org/dwc/dwctype/Location-2009-04-24,2009-01-23,2014-10-23,Location,A resource describing an instance of the Location class.,,Location,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,not in ABCD,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,,,
http://rs.tdwg.org/dwc/dwctype/MachineObservation-2008-11-19,2008-11-19,2008-11-19,MachineObservation,A resource describing an observation made by a machine.,,Machine Observation,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/dwctype/Occurrence,superseded,RecordBasisEnum/MachineObservation,,,,,
http://rs.tdwg.org/dwc/dwctype/MachineObservation-2011-10-16,2008-11-19,2014-10-23,MachineObservation,A resource describing an observation made by a machine.,,Machine Observation,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,RecordBasisEnum/MachineObservation,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/MachineObservation-2008-11-19,,
http://rs.tdwg.org/dwc/terms/MachineObservation-2014-10-23,2014-10-23,2014-10-23,MachineObservation,An output of a machine observation process.,,Machine Observation,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,RecordBasisEnum/MachineObservation,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/MachineObservation-2011-10-16,,
http://rs.tdwg.org/dwc/terms/MaterialSample-2013-03-28,2013-03-28,2014-10-23,MaterialSample,"The category of information pertaining to the physical results of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.",,Material Sample,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,,,
http://rs.tdwg.org/dwc/dwctype/MaterialSample-2013-06-24,2013-03-28,2014-10-23,MaterialSample,"A resource describing the physical results of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.",,Material Sample,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,http://purl.obolibrary.org/obo/OBI_0100051,deprecated,DataSets/DataSet/Units/Unit,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,,,
http://rs.tdwg.org/dwc/terms/MaterialSample-2014-10-23,2013-03-28,2014-10-23,MaterialSample,"A physical results of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.",Examples: A whole organism preserved in a collection. A part of an organism isolated for some purpose. A soil sample. A marine microbial sample.,Material Sample,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/MaterialSample-2013-03-28,,
