usda,tsn
cassi2,27940
caly4,23536
calyc6,527184
calyl2,527185
came7,23537
cameg,527186
camem,527187
cate11,23535
cates2,527188
catet,527189
cassi3,23534
cagu3,27793
cassi4,27792
cafi4,18173
cassy,18172
catr18,501317
casta4,500186
cacr27,506540
cade12,19454
camo83,501318
capu9,19457
capuo,527190
capup3,527191
casa27,506541
cane7,19455
casta,19451
casc38,
casta7,
caem4,501319
caer3,28832
caere2,523790
caert,523791
caste2,28830
catu16,
caste7,
cael5,19078
caelc,524862
caele2,524861
caul5,506549
casti,19077
caaf,33053
caafa2,525149
caafl2,525150
caafn2,525151
caam32,506875
caama3,524895
caamh,524896
caami2,524897
caan7,33092
caana3,527192
caand,
caanf,527193
caan8,33055
caap4,33093
caapa2,525152
caapd,525153
caapm,525154
caapp3,525155
caapp4,525156
caaq4,501320
caar11,33094
caar21,33128
caat25,506876
caau5,33098
cabr37,506877
caca79,506878
cacac14,524898
cacas5,524899
caca20,33050
cacaa,527195
cacac11,527196
cace4,33056
cach40,
cach15,33101
cach19,501321
cach8,33103
cach16,33104
caci6,33058
caco17,501322
caco36,33105
cacr13,33106
cacr14,33108
cacu7,33109
cade29,506879
caded3,524900
cadeg,524901
cadeo,524902
cadi20,501323
cael6,33111
cael7,33061
caex14,506880
caexe,524903
caexl,524904
caexv,524905
cafl7,33115
caflf3,527197
caflr,527198
cafo2,33117
cafr8,33119
cafu,
cage6,506881
cagl10,33120
cagr21,202486
caha16,33123
cahi9,33063
cahia2,523792
cahib,525157
cahih2,523793
cahy5,33051
cahy6,33129
cain13,33064
cain14,33131
caing,527199
caini5,527200
caka6,501324
cakr4,
cala68,506882
cala24,33066
calah,525158
calal11,525159
cala69,506883
cala26,33134
cale18,33067
cale27,33137
cali4,33138
cali20,506884
cali5,33139
calu14,33142
came21,501327
came17,33144
cami12,33069
camid2,525160
camie,525171
camim5,525161
cami13,33070
camim6,525162
camis3,525163
camo8,33147
camo20,510432
cana3,33071
cane18,33150
cani8,33072
caoc4,33073
caor4,33151
caor7,33074
caor21,508046
capa25,33075
capai,527203
capap7,527204
capa85,
capa26,33154
capaa3,527205
capao,527207
capao2,527206
capap8,527208
capa46,501328
capa41,33155
cape19,33156
capi3,33076
capil,527209
capip,527210
capis,527211
capl7,33158
capr11,501330
capr14,33160
capu19,33162
capu10,33163
capu11,33077
capuc,527212
capul,527213
capup5,527214
cara7,33078
care10,501331
carh4,33164
cari12,506885
caru20,506886
carul,524906
carur2,524907
caru8,33079
caru9,33080
casa20,501332
casc19,33165
cascb3,527215
cascs4,527216
casc20,501333
case4,33166
case5,33167
casu10,33171
casuf2,525164
casus7,525165
casu11,33172
casu12,33083
cate14,33174
cate26,506887
cath4,33084
caun4,33177
cavi9,33178
cawa4,33179
cawo4,33090
capo11,501329
caxa,33180
cayu,33091
casti2,33049
cacu8,501334
caeq,19516
cagl11,19517
cale28,501335
caob12,
casua,19514
caaq3,41541
caaqa6,
catab,41540
cabi8,34313
cabu13,
cafa6,
calo8,34316
caov5,34314
casp8,34315
catal,34312
caca94,
catan,
cama54,
cari2,
catap3,
caac11,
caan30,
caca69,
cach37,
caci13,
caco65,
caco78,
cada6,
cagl25,
cagr29,
cahe23,
cala60,
cami40,
cano7,
capl15,
capo19,
caps11,
caru21,
casc39,
casq4,
casq5,
catu11,
caum6,
cawa6,
caza2,
catap2,
catas2,
came19,34956
capa43,34955
cates,34954
caed7,506067
catha2,500678
caro14,30168
catha,30167
caer2,41545
cathe,41544
cach28,
cacu15,
caen5,
cafl33,
cafr18,
cagl26,
cagl27,
cahe26,
caje4,
cale42,
cale43,
camu20,
cani13,
casu42,
casu43,
cate23,
catr23,
catil,191853
caat22,190258
casu44,190260
catin,190256
cawa5,
catol,190064
cabe5,42343
cafl10,42339
cani6,42340
canu7,565051
case7,42342
catop,42338
cani15,16119
catos2,16118
caga10,
cala82,
cattl2,
capl11,501336
cauca,500187
cale44,15253
cauda,15252
caam11,23075
caama,527219
caamb,527220
caan25,501337
caba11,23076
caco18,23078
caco38,23079
cacr11,23080
cacrc,527221
cacrg,527222
cagl12,23084
caha8,23085
cahe11,23086
caheh4,531273
cahep,531274
cain15,23087
cale25,23089
cama17,23090
camam14,531275
caman,531276
capi4,23091
casi5,23092
caula,23074
cabi21,
caula2,
cata5,
caule,
cagi6,501338
cath2,18840
caulo,18839
caja5,23095
caulo2,23094
cahu60,190600
calo60,190601
caver2,190599
caam15,22354
caqu3,22352
cara10,22353
cayap,22350
caja7,501339
catr29,506888
cayra,500188
ceam,28454
cear,28455
ceco6,508099
ceco2,28457
ceco,28458
cecr,28459
cecu,28460
cecuc3,531445
cecuf2,531477
cecur2,531478
cecy,28461
cede,28462
cedi,28463
cedi2,28466
cefe,28467
cefe2,28468
cefo,28470
cefof3,531446
cefom,531479
cefov,531480
cefr,28471
cegl,28472
cegle,531481
ceglg3,531447
ceglp,531482
cegr,28473
cegrf,531448
cegrg2,531449
cegrp,531483
cegrv,531484
cegr2,28474
cehe2,28475
cehe,28476
ceim,28477
ceimi,531450
ceimn,531485
cein,28478
cein3,28479
ceje,28480
cejea,531486
cejej2,531451
cele,28481
cele2,28482
cema,28485
cema2,28486
cema3,28487
ceme,28488
cemei2,531487
cemem2,531452
cemi4,28491
ceol,28492
ceop,506889
cepa,28494
cepa2,28495
cepap3,531453
cepar,531488
cepa3,28496
cepa4,28497
cepi,28498
cepr,28499
cepu,28500
cepu2,28501
cero4,501342
cesa,28506
cese5,28507
ceso,28509
ceso2,28510
cesp,28511
ceth,28513
ceto,28514
ceve,28517
ceveh2,531489
cevev4,531454
ceve2,28518
cear2,28456
ceba,501340
cede11,
cefl4,28469
celo,28483
celo2,28484
ceme3,501341
ceot,28493
cepa17,
ceru,28505
cese,28508
ceva,28515
ceve4,28516
ceano,28453
ceum3,
cecid,
cead2,506890
ceob,501343
cesc9,565052
cecro,19213
ceod,29014
cedre,29013
ceca,32468
cedro,32467
cede2,183408
celi6,
cedru,183405
ceac4,506100
ceae2,21596
cepe2,21595
ceiba,21594
cege3,
ceor7,506068
cesc,27974
celas,27973
cesp8,
celmi,
cear3,20778
ceni,20780
cepa5,20781
cetr7,501345
cevi4,20782
celos,20777
ceac5,
celot,
cegi3,
celti2,
ceaf3,
ceau8,565053
cebu2,
ceca18,
cech6,
ceeh,
cegl5,
ceig,19041
ceje3,
cela,19042
celab,527224
celal,527225
celar,527226
celat8,527227
celi,19043
ceoc,19040
cesi8,
ceta3,
cete,19046
ceto5,
cetr3,19047
ceyu2,
celti,19039
ceag,40579
ceaga,527231
ceagl,527232
cebi,40572
cebr,40573
ceec,40575
cegr3,40576
celo3,40570
cemy,40578
cese10,
cesp4,565054
cetr,40571
cench,40569
ceam2,36951
ceas2,501346
ceba4,
cebo,507587
ceca2,36952
ceca5,501348
ceci2,36953
cecy2,36954
cede15,565055
cede5,36956
cede10,506891
cedi3,36958
cedi4,36959
ceer,36960
ceib,36961
ceja,36962
cema9,36963
ceme2,36965
cemo,36966
ceni2,36968
ceni3,36969
ceor8,
ceov3,
ceovb2,
cepa14,501350
ceph,501351
cero,36970
cesc2,36971
ceso3,36972
cest8,
cestm,
cesu,36973
cetr6,36974
cetr12,506892
ceun2,36976
ceunn,36977
cevi,
cevis2,
cemo6,
cepo8,507588
ceps,
centa,36950
cear12,507847
cebe,30027
ceca3,30028
ceda,30029
ceer5,30045
ceex,30030
cegl6,507849
celi7,
cema19,507850
cemu2,30032
cemu5,507851
cena,30033
cenu,30034
cepu3,30036
cequ,501353
cese6,30047
cesp3,30037
cete9,
cete2,30038
cetr2,30039
ceve3,30041
cevea,30043
cevev,30042
centa2,30026
ceas,29612
ceer2,29613
cente,29611
cemi5,36980
centi,36979
cela9,507281
cento,564944
ceru2,35374
centr,35373
cepu6,501354
centr6,500189
cepa21,
cepaa,
cepac,
cepap4,
cepar4,
cepu14,
cepul,
cepum,
cepup6,
cepus2,
centr8,
cegl7,
centr7,
cear10,
cear5,25779
cema18,
cemo5,565056
cepl,501355
cepu5,501356
cesa6,501357
cevi2,25778
centr2,25777
ceth3,21001
centr4,20998
ceip,506056
cepha9,500676
ceau,43517
cepha3,43516
ceoc2,34786
cesa3,34787
cepha,34785
cegi2,501359
cesy,501360
cepha4,500190
cepha10,
cele5,191758
cepha7,191757
ceha2,506784
cepha8,500825
ceaf2,14425
cebi4,14426
cebia,14429
cebib,14428
cebil,14431
cebio,14433
ceca15,14434
ceco7,14435
cecob,14437
cecoc,14436
cecoc2,14438
cela6,14440
cele6,14441
celo4,14442
celu,14443
cema14,14445
cema15,14446
cemaa,14448
cemam,14447
cepa19,
cepl3,14449
ceplc,14451
ceplp,14450
cepls,14452
cepha5,14424
cear15,14542
ceara5,
cear14,
ceas4,
cebi6,14495
cebr9,14496
cede16,14497
cedi11,14498
cedid2,
cedip2,
cedis,
ceel2,14506
ceel3,
cegr12,14509
cegra3,
cegrg3,
ceha4,14513
cehy2,14514
cein13,14515
cema21,
cema22,14517
cemi10,14518
ceob3,
cepa20,14519
ceph2,14520
cera3,14521
ceru4,14522
cerua,
cerub,
cerue,
cerup,
cerur,
cerur2,
cerus,
cesp5,14533
cesp6,
cest7,
cetu4,14537
ceun4,14539
ceunb,
ceuns,
ceunu,
cepha6,14492
ceal,19945
ceal12,
ceala,
ceall,
cear16,
cear4,19947
ceara2,523822
cearf,523823
cearm,523824
cears2,523825
cearv2,523826
cearv3,531588
cearv4,531589
ceax,19948
cebe2,19944
cebeb2,523827
cebeb4,531590
cebee,523828
cebeg3,531592
cebi7,
cebi3,501361
cebr2,19949
cebr3,19950
cece,
cedi5,19951
cedi7,501363
cedu2,19952
cefi,19953
cefo2,19954
cefof,
cefov2,523831
cegl2,19955
cego,507726
cegr7,501364
cema5,19957
cenu2,19958
cenun,527239
cenuo,527240
cepu4,19959
cepup7,
cere4,19960
cese4,19961
ceso4,19963
cete10,
cete3,19965
ceto2,19966
ceras,19943
ceer3,23747
cefa6,
cerat5,23746
cete5,501365
cerat3,18750
cepu12,16864
cepup4,549353
cepur,549354
cest5,547667
cerat9,16863
cecu5,15264
cela11,15265
ceru3,15267
cerat8,15261
cesi3,26531
cerat4,26530
cede4,18403
ceec2,501366
cemu3,18404
cemua,523836
cesu6,
cerat,18402
cega,
cept,17956
ceri2,17957
ceth2,17958
cerat2,17955
cepl2,501367
cewi2,
cerat7,500191
cese9,506050
cetr5,34429
cerat6,34428
cedi12,
cerbe,
ceja2,501368
cerci3,500192
cede14,
ceep2,
ceep,
ceul,
cerci4,
ceca4,25782
cecac,527241
cecam,527242
cecat,527243
ceor9,507824
cesi9,
cerci2,25781
cein7,25133
cele3,25134
celei,195854
celel,195852
cemo2,25136
cemoa,195858
cemob,527244
cemog,195863
cemom,195867
cemom2,195865
cemom4,195856
cemop,195868
cetr4,25137
cerco,25131
cebl2,
cehe3,501369
cehi3,565057
cereu,19877
cema13,
cerin,
ceta2,507282
cerio,564945
cewo,
cerop,
ceal11,506712
cerox,500800
ceal3,30500
ceau2,501372
ceda4,
cedi6,30496
ceel4,
cefa3,30497
cela2,30502
ceno,30498
cepa9,30499
cesa4,30504
cestr,30495
ceac3,
cear7,190605
ceer6,190612
ceere,
ceerr,
ceis60,190618
ceisc,
ceisi,
ceiso,
ceka60,190622
cela60,190623
cemu4,
ceni60,190624
ceod60,190627
cetra2,190602
cede13,
cefa5,
cetra3,
ceal9,190636
cece4,190637
cech2,190638
cemo4,190639
ceol2,
cetre,190635
cesi,19842
ceval,19841
chal,36982
char,36984
chca,36985
chcac,527247
chcap2,527248
chcu,36986
chdo,36987
chdoa2,527249
chdod,527250
chev,36988
chfr,36989
chgl,36991
chglg2,527251
chglh,527252
chgll2,527253
chglm,531490
chglo,527254
chma,36992
chne,36993
chne6,36994
chpa,36995
chsa,36997
chst,36998
chsu,36999
chth,37000
chxa,37001
chaen,36981
chja2,508021
chsp12,508022
chsu21,
chaen6,500941
chca37,
chmi,501374
chaen7,564835
chbr9,
chbr10,
chch13,
chch14,
chci4,
chfe7,
chfl10,
chfu3,
chgr20,
chhi11,
chla22,
chph,
chst9,
chsu14,
chtr12,
chxy,
chaen4,
chbr11,
chco23,
chde15,
chep,
chna5,
chno4,
chpi10,
chpu7,
chpu8,
chra7,
chru6,
chsa6,
chvi19,
chvi20,
chaen5,
char19,
chbu5,
chpr,29616
chprp,527255
chprs,527256
chta,29617
chtad,527257
chtat,527258
chte5,29618
chaer,29614
chwh,501375
chaet,500195
chas,37006
chasa,527259
chasg,527260
chbe2,37009
chbe3,37010
chef,37011
cher2,501376
chhe,37014
chim,501377
chpa2,37016
chaet2,37004
chma18,565058
chait,564836
chau2,25139
chfo,25140
chama,25138
chmi2,25142
chama2,25141
chsc,37018
chscp,527261
chscs,527262
chama3,37017
chab3,501378
chaba2,
chabm,527264
chca26,501379
chch3,501380
chchc,527265
chde9,501381
chde20,
chdel3,
chdi10,
chdi6,501382
chfa2,501383
chfaf,566216
chfam2,533357
chfl4,501384
chflt,527266
chgl6,501385
chglg3,527267
chglm2,527268
chgls,527269
chgr18,501386
chli5,501387
chlib,527270
chlik,527271
chmi6,506342
chni2,501388
chnia,531593
chnid,531594
chnig,531598
chnij2,
chnil,531596
chnin,523837
chnin2,531597
chnip,523838
chnip2,531599
chpi5,501389
chpo8,501390
chra9,
chro3,501392
chse9,501393
chses2,527272
chsew,527273
chama17,500196
chfu6,
chla,183453
chob8,505932
chpi12,
chth2,18046
chama4,18045
chgl14,
chhi13,
chmo13,
chpa44,
chpr14,
chra8,
chsu22,
chama20,
chca2,23637
chama5,23636
chco27,
chel5,506713
chse17,565059
chama18,500801
chlu,42894
chama6,42893
chfu2,37020
chmi5,37021
chno3,501396
chama11,37019
cher,25144
chern,25146
chama7,25143
chhu7,506714
chama19,500802
chco,30506
chco2,30507
chcr2,30508
ched,30509
chpa16,30510
chso,30511
chvi9,30512
chama8,30505
chab2,501397
chac2,501398
chad,501399
chadp,523839
chal11,501400
chan5,501401
char18,501402
char17,501403
char8,501404
chas2,501405
chat2,501406
chbe6,501407
chbl2,501408
chbo7,501409
chca29,501410
chca30,501411
chce,195970
chcea,527277
chcec,195971
chceh,527278
chcek,195972
chcel,527279
chcel2,527280
chces,527281
chcet,527282
chch5,508100
chchc3,531340
chcht,531341
chci2,501412
chcl3,501413
chco10,501414
chco11,501415
chco8,28250
chcu4,28245
chde6,501416
chde7,195973
chdea2,525091
chded,195974
chdep,525092
chdes,195976
chde8,501417
chdi5,501418
chel7,565060
chfe3,501419
chfl3,501420
chga3,195977
chge2,501421
chgeg,531342
chgew,531343
chgl13,501422
chgo3,501423
chgr17,501424
chha2,501425
chhe3,501426
chhi3,195985
chho3,501427
chhu3,501428
chhy2,501429
chhy3,195986
chje,501430
chku,195978
chla8,501432
chla9,501433
chla10,501434
chma15,565061
chme5,501436
chme6,501437
chme7,501438
chmi7,501439
chmi8,501440
chmu3,501441
chmum,527284
chmum2,527285
chnu9,501442
choc,501443
choca,523840
choco,523841
chocr,523842
chol3,501444
chop2,501445
chor6,501446
chpa30,501447
chpa28,501448
chpe9,501449
chpe10,501450
chpe14,
chpl3,501451
chpo12,501452
chpo6,501453
chpo7,28247
chpop3,527288
chpos,527289
chpr6,501454
chre3,501455
chreh,527290
chrek,527291
chrer,527292
chre4,501456
chro2,501457
chse4,28248
chse6,501458
chseh,523843
chses,523844
chse7,501459
chse8,501460
chsi5,507815
chsk,195979
chsks,195980
chskv,527293
chsp4,501461
chst8,501462
chth6,501463
chth4,28249
chto6,
chtr3,501465
chtu,501466
chva4,501467
chve11,507816
chve5,501468
chvi17,501469
chke,501431
chama15,28244
chun4,
chame3,
chan9,510756
chana2,566019
chanc,566020
chla13,510758
chame2,564837
chal10,20786
chami,20785
chhi12,14691
chand,14688
chfl2,26535
chpr13,
chapm,26534
chal18,501471
chde4,37024
chnu2,37025
chte6,501472
chto,37026
chapt,37022
chde3,20788
chel,20789
chob2,20790
chov2,20791
chovn,527294
chovo,527295
chto3,20792
chtom,527296
chtot,527297
charp,20787
chfl9,506893
chasm2,43281
chla5,41547
chla6,41548
chni,41549
chor3,41550
chse2,41551
chasm,41546
chae,17433
chal5,17434
char7,17435
chbo5,501473
chcl,17437
chco3,17438
chco4,17439
chea,17440
chfe,17441
chfe2,17442
chgr,17444
chho,17445
chin,17446
chka,17447
chla2,17448
chle2,17449
chle3,17450
chli,17451
chmi4,17452
chne2,501475
chno2,501476
chpa4,501477
chpa36,501478
chpr2,17454
chpy6,
chte12,
chto2,17455
chvi,17456
chvi23,
chvi2,17457
chwo,17458
chwr,17459
chfi,17443
chpa3,17453
chya,501479
cheil,17432
chad5,
chcl4,15273
chev2,15276
chmy3,
chpo13,15280
chpoc,
chpop6,
chri2,15283
cheil2,15272
chin21,
cheir3,
chdo3,29380
chfa,29381
chfo4,501480
chpl,29384
chplk,523845
chplp,523846
chtr2,29385
chtrh3,523847
chtrt,523848
cheir,29379
chpa14,17209
cheir2,17208
chma2,501481
chmal,527300
chmam,527301
chmap,527302
cheli,500199
chcu5,33183
chgl2,33182
chly2,33184
chob3,33185
chobe,527304
chobo,527305
chobs,527306
chelo,33181
chal7,20592
chala,531163
chalc3,
chalc4,
chalm,527308
chalm2,527309
chals,527310
chals2,525448
cham,20590
chama16,527311
chamo2,527312
char16,501482
chat,20593
chbe4,20594
chbeb,527314
chbeb2,527313
chbeb3,531007
chbem,531008
chben,524865
chbes,527315
chbez,527316
chbo,20595
chbo2,20596
chca3,20598
chca4,20599
chca12,20601
chcap,527320
chch,20602
chcr6,565062
chcy,20603
chde,20604
chfi4,501483
chfo3,20605
chfo2,20606
chfr3,20607
chfrf,527321
chfrp,527322
chga6,
chgl3,20610
chgr2,20611
chhi,20612
chhi2,501484
chhu,565063
chin2,20614
chine,527323
chini,527324
chino,527325
chle4,20616
chma7,20618
chmaf,527326
chmah,20619
chmu,20621
chmu2,20622
chne3,20623
chnen,531009
chnep,531010
chne4,20624
choa,20640
chop,20625
chov,20626
chpa5,20627
chpa23,506566
chpo,20628
chpoa,527327
chpoo,527328
chpop,
chpr5,501485
chpu,20629
chqu,506567
chru,20630
chsa2,20631
chsc10,
chsi2,501487
chst2,20633
chsu2,20635
chur,20636
chvu,20637
chwa,20638
chva3,501488
cheno,20589
chli2,34318
chlia,523850
chlil2,523851
chilo,34317
chge5,14560
chpa43,14561
chpaf2,
chpap3,
chpo14,14565
chpop7,
chpor,
chilo2,14559
chma3,23767
chme,23768
chum,23769
chuma,523852
chumc2,523853
chumo2,523854
chima,23766
chal8,34958
chpa17,34959
chioc,34957
chma16,
choc4,
chpe11,
chsp8,
chsu15,
chiod,
chax2,501489
chco12,501490
chdo4,501491
chho4,501492
chli6,501493
chpy2,32949
chvi3,32950
chion,32948
chse5,35185
chve4,35186
chion3,35184
chcr7,
chfo9,
chsa11,
chion4,500200
chja,33511
chtw,33512
chion2,33510
chap,
chion5,
chpe13,
chira,
chsp11,506896
chlor6,500840
chan,41559
chba10,565064
chbe9,
chca6,41560
chcac5,566217
chcag3,566218
chca35,
chci,41554
chcu6,501496
chcu2,41563
chdi2,501497
chel3,501498
chga2,41565
chmo11,
chpe80,501499
chpy4,
chra,41570
chro9,
chsa3,41556
chsu4,41572
chte,41557
chtr,41573
chve,41574
chve2,41575
chvi4,41558
chbr12,565065
chsu3,41571
chlor,41552
chha,23097
chlor2,23096
chan2,42896
chgr3,42897
chpa7,42898
chpo3,42899
chpod,527334
chpom,527335
chpop4,527336
chpu2,42900
chpup2,527337
chpur,527338
chlor3,42895
chex5,506548
chlor4,19079
chca28,501500
chco28,
chlor5,500201
chax3,
choer,
chdu,28880
chdua,527339
chdud,531011
chdum,527340
chois,28878
chju,37029
chond,37027
chto5,506186
chond2,500700
chdo6,14589
chone,14588
chin22,
chsp13,
chori4,
chne12,
chori5,
chte2,23099
chori,23098
chan3,21004
chbi2,21005
chbib,527341
chbii,527342
chbl,21006
chbr,21007
chbrb,527343
chbrs,527344
chbr2,21008
chcl2,21009
chco6,21010
chcu3,21011
chcuc,527345
chcuv,527346
chdi3,21012
chdo2,21013
chfi2,21014
chfif,527347
chfil,527348
chho2,21015
chle6,21016
chme2,21017
chob4,21018
chor,21019
chpa8,21020
chpa9,21021
chpaf,527349
chpap2,527350
chpo4,21022
chpol,527351
chpop5,527352
chpr4,21023
chpu3,21024
chpuh2,527353
chpup3,527354
chre,21025
chri,21026
chro,21027
chroh,527355
chror,527356
chsp,21028
chst4,21029
chst5,21030
chun,21031
chva,21032
chve3,21033
chwa2,21034
chwh2,21035
chxa2,21036
chxal,527357
chxax,527358
chori2,21003
chve6,501503
chris2,500203
chpa45,
chris3,
chmu6,
chmum4,
chmuo,
chrom2,
chbi3,37031
chbo3,37035
chco9,37036
chfr4,37032
chge,37037
chiv,37033
chod,37034
chot,37038
chsi,37039
chrom3,37030
chti2,506429
chroz,500754
chme3,37041
chrys,37040
cham8,
chrys17,
char13,
chara,
charp3,
chci5,505921
chma17,505922
chmo14,
chrys2,35791
chic,25148
chrys3,25147
chvi5,37045
chvia,527359
chvib2,
chviv,527360
chrys4,37044
chdi8,547668
chrys14,547444
chch7,508097
chchc4,531368
chchm,531473
chse11,508098
chrys15,500925
chpa18,37047
chrys11,37046
chal19,505966
char6,501506
chca10,23811
chde16,505967
chme10,565965
chol,501507
chpa31,501508
chrys5,23810
chac,41579
chfu,41577
chgr21,
chno5,
chpa11,41578
chrys6,41576
chfl8,202497
chgo2,501509
chgo,501510
chgoc,523855
chgog,523856
chgoh,523857
chla21,501511
chla7,501512
chli4,501513
chlid,523858
chlil,523859
chma14,202495
chpi8,565066
chsc2,501515
chsu6,501516
chte10,506897
chrys7,202494
chal24,
chals3,
cham2,24191
chgl5,24192
chte3,24189
chwr2,24190
chwrb,527361
chwrw,527362
chrys8,24188
chal9,37049
chba11,510990
chde2,37051
cher3,501518
chgr13,504260
chgr6,37052
chhu2,37053
chli3,37054
chmo2,501519
chpu4,37084
chsp3,37087
chva2,37089
chvi8,37090
chvia4,523861
chvil10,566351
chvil4,37094
chvip3,37092
chvip4,37093
chvis5,531602
chviv2,37091
chviv4,531603
chrys9,37048
chpu9,565067
chrys16,564838
chca31,
chch15,
chrys12,
chab,42281
chco29,
chmo12,
chqu2,
chusq,42280
cich,17948
cigl,17949
cime8,507517
cine2,501521
cihe7,
cibot,17947
ciqu3,30049
cicen,30048
ciar5,26537
cicer,26536
cien,501522
ciin,36763
cicho,36762
cibu,29459
cido,29457
cima2,29456
cimaa,182152
cimab,182153
cimam,182151
cimav,
civi5,182155
cicut,29455
cidr,21791
cihe2,21793
ciyu,21792
cienf,21790
cica17,506064
ciof,506063
cipu,501523
cinch,500204
ciar70,16052
cila70,547669
cist70,16051
cisu70,547670
cincl2,16050
cimu3,
cisa4,
ciner,
ciar2,40583
cibo2,501524
cila2,40584
cinna,40582
ciar8,506205
cibu2,501525
cica,18175
ciel2,501526
cime9,
cimo3,501528
cise2,507283
cita2,506207
cive2,501529
cize2,
cinna2,18174
cial,27563
ciala,27564
cialp2,27565
cilu,27567
ciluc,27569
ciin4,27566
circa,27562
cibr5,547671
cici70,547672
cipi70,16270
cirri2,16269
cial2,36337
cian,36339
cian2,36340
ciar6,501530
ciar9,507589
ciar3,36341
ciar4,36335
ciba,501532
cibr,36343
cibr2,36344
cica10,36346
cica11,36350
cica6,36351
cica16,501534
cica7,36352
cice,
cich2,501535
cich3,501536
cici,36354
cicl,36355
cicl2,36356
cicr,36359
cicy,36360
cidi,36362
cido2,36363
cidob2,531189
cidod,527368
cidr2,36364
ciea,36365
cied,36366
cien2,36367
cifl,36368
cifo,36369
cifo2,36370
cifoc,531190
cifof,527370
cifoo,527371
cigi,36371
cigr2,36372
cihe3,
cihi,36377
ciho,36378
ciho2,36379
cihoh,566219
cihov,533621
cihy,36380
cihyh,527372
cihyv,527373
ciin5,501540
cija2,
cika,36381
cila5,501542
cile2,36382
cilo,36383
cilo2,36384
cime4,36431
cimo2,501544
cimo,36386
cimu2,507590
cimu,36387
cina,501545
cine,36388
cinu,36390
cioc,36391
ciocc,
ciocc2,527376
ciocc4,531191
cioco,527377
ciocv,531491
cioc2,36392
ciocm,
cioco2,
cios,501548
ciow,501549
cipa5,36393
cipa6,36394
cipa,36395
cipam,524911
cipap2,524912
cipe4,36397
cipe5,36399
cipi,36400
cipr2,501550
cipu3,36404
cipu4,36405
cipy2,565068
ciqu2,36406
cire,36407
cire2,36408
cirh,36409
ciro,36410
ciru2,501551
ciry,36411
cisc4,501552
cisc,36412
cisc2,36413
cisc3,36414
cisu,36416
cite2,36418
citu,36421
ciun,36423
ciunt,527386
ciunu,527387
civa5,
cive,501554
civi4,36426
civi6,501555
civi,36427
civu,36428
ciwh,36429
ciwr,36430
cica22,
cicr4,
ciio2,501541
civa2,
cirsi,36334
cipa4,18860
cissa,18859
cian3,
cier,28636
ciin3,28637
cino,501556
ciob,28638
ciqu5,
cire5,506085
cirh2,506086
ciro3,565069
citr2,28640
citu2,28641
cive3,501557
cissu,28634
ciam3,501558
cima4,501559
cimo4,501560
cimo5,501561
cipa7,501562
cipaa,527388
cipah,527389
cipan,527390
cipap,527391
cipu5,501563
cipy,501564
ciqu4,501565
ciro2,501566
citw2,501567
cium,501568
ciumc,531012
ciumu,531013
cista,500205
ciin80,501569
ciinc,523862
ciinc2,566021
ciini,523863
cila10,
cimo7,506898
cipu8,
cisa,506899
cipu7,
cistu,22277
cibe,32148
cibr3,32149
cica8,32152
cisp3,32155
citr7,32156
cipe3,32154
citha,32147
ciwe,506396
citro2,500737
cico7,501571
cila3,22356
cilac,527395
cilac2,
cilal,527396
citru,22355
cihy2,
cija,506404
cili2,501572
cima10,
cima9,
cima5,501574
cime3,28886
cino3,506397
cire3,28888
cireu,
cita3,506405
ciau7,
ciau8,
ciaua,524858
ciaub,524859
cili5,
cili3,501573
cipa3,28887
cisi3,
cita,506398
citru2,28882
clbo6,190288
cladi2,190287
clar60,
clarb,
clci60,
clcic,
clcit,
clco11,
clev,
clmi60,
clpo4,
clpop,
clps3,
clra60,
clsa6,
clst60,
clsta,
clst5,
clsu6,
clsu7,
clte9,
cladi3,
clca2,39879
clco7,501575
clma,39880
clma10,501576
clmaj,523864
cladi,39877
clab,189843
clac60,189844
clal60,189847
clal11,
clal12,
clam60,189848
clan5,
clan3,189849
clap2,189850
clar9,
clas5,189851
clat2,189852
clba3,189854
clbe3,189855
clbe4,189856
clbo7,189857
clbo60,189858
clbo8,189859
clbo9,189860
clbr4,189861
clbu2,
clca8,189862
clca9,189863
clca10,189864
clca11,189865
clce2,189866
clce3,189867
clcec,
clcev60,
clch3,189870
clco12,189871
clco13,189872
clco20,
clco19,189873
clcoc3,
clcog2,
clcr5,189876
clcrc,
clcrc2,
clcr2,189879
clcr3,189880
clcy3,189881
clcy4,189882
clda2,189883
clda3,189884
clde5,189885
clde60,189886
cldi9,189887
cldiv,
cldi10,189890
cldi11,189891
cldi12,189892
clec,189893
clece,
cleci,
cleco,
clex4,
clfa3,189896
clfi2,189897
clfi4,
clfl5,189898
clfl6,189899
clfu3,189900
clfus,
clgl5,189903
clgr12,
clgr13,189904
clgre,
clgrg3,
clgrt2,
clgrv,
clgr6,189909
clgr7,189910
clho3,189911
clhu,189913
clhy,189914
clim2,189915
clin3,189916
clka3,189917
clla8,189918
clle4,189919
cllu3,189920
clma11,189921
clmab,
clma12,189922
clma13,189923
clma14,189924
clma16,189926
clma17,189927
clma18,189928
clme3,189929
clme60,189932
clmu60,189933
clna4,
clni4,189935
clno2,
clno3,
cloc60,189936
clpa9,189937
clpa13,189938
clpe5,189939
clpe6,189940
clpe7,
clph60,
clpi3,189943
clpl60,189944
clpo60,189945
clpo5,189946
clpo6,189947
clpo9,
clpr2,
